0.116326530, KI
0.162766439, TA
0.233038548, TA
0.271428571, KI
0.349206349, NA
0.602040816, KI
0.637505668, TA
0.696802721, TA
0.747482993, KI
0.814467120, NA
1.095918367, TIN
1.207755102, NA
1.357142857, KI
1.406122448, TA
1.442857142, TA
1.485714285, KI
1.548979591, DHIN
1.960521541, KDA
2.074172335, DHIN
2.323219954, DHA
2.608276643, GE
2.705963718, DA
2.834535147, NA
2.965306122, GE
3.100952380, DHI
3.218367346, NA
3.322426303, GE
3.412244897, NA
3.554263038, TA
3.678820861, KI
3.801859410, DHI
3.912675736, NA
4.041224489, DHA
4.306802721, TRA
4.422698412, KI
4.548027210, DHI
4.654149659, NA
4.785578231, GE
4.888662131, DA
5.014693877, NA
5.129637188, GE
5.251609977, DHI
5.359682539, NA
5.474331065, NA
5.584240362, GE
5.712902494, TA
5.828866213, TA
5.935079365, GE
6.071700680, DIN
6.326099773, NA
6.433356009, GE
6.560566893, DA
6.676802721, NA
6.818730158, GE
6.932653061, DHI
7.034036281, NA
7.164331065, NA
7.279591836, KI
7.403174603, TA
7.523628117, KI
7.620408163, TA
7.745283446, TA
7.873401360, KI
7.997052154, TA
8.102539682, TA
8.243424036, KI
8.348208616, TII
8.469387755, NA
8.576371882, KI
8.683854875, NA
8.800884353, NA
8.922448979, KI
9.043605442, TRA
9.146213151, KI
9.246938775, TII
9.381292517, NA
9.522448979, KI
9.579591836, TA
9.626530612, TA
9.675510204, KI
9.748979591, NA
10.030612244, KI
10.065306122, TA
10.138775510, TA
10.204081632, KI
10.297959183, DHIN
10.566371882, NA
10.846371882, GE
11.096825396, NA
11.340816326, DHIN
11.610498866, NA
11.856213151, GE
12.123469387, NA
12.364852607, DHA
12.651972789, GE
12.898866213, TA
13.014557823, TA
13.119115646, KI
13.235668934, TA
13.355034013, DHIN
13.607256235, NA
13.878979591, GE
14.117936507, NA
14.389501133, DHA
14.530612244, GE
14.626712018, TRA
14.731473922, KI
14.852585034, DHI
14.966575963, NA
15.107868480, GE
15.198140589, DA
15.314603174, NA
15.439274376, GE
15.579614512, DHI
15.681632653, NA
15.801836734, DHA
15.928911564, GE
16.045668934, TRA
16.146938775, KI
16.246938775, TIN
16.393696145, NA
16.512358276, KI
16.583673469, TA
16.640816326, TA
16.679591836, KI
16.752834467, NA
17.002040816, KI
17.065306122, TA
17.124489795, TA
17.175510204, KI
17.279931972, DHI
17.387755102, NA
17.536009070, GE
17.634013605, NA
17.755442176, DHA
17.875510204, GE
18.003197278, TRA
18.110408163, KI
18.233242630, DHI
18.348979591, NA
18.478775510, GE
18.585442176, DA
18.714716553, NA
18.820408163, GE
18.961337868, DHI
19.073492063, NA
19.191405895, DHA
19.319183673, GE
19.444716553, TRA
19.528571428, KI
19.646712018, TIN
19.772675736, NA
19.902040816, KI
19.965306122, TA
20.015510204, TA
20.063650793, KI
20.123469387, NA
20.386984126, KI
20.446938775, TA
20.514285714, TA
20.593877551, KI
20.667210884, DHI
20.772879818, NA
20.911768707, GE
21.002018140, NA
21.124557823, DHA
21.261224489, GE
21.373922902, TRA
21.488435374, KI
21.602312925, DHI
21.724489795, NA
21.858231292, GE
21.966961451, DA
22.072766439, NA
22.187755102, GE
22.322947845, DHI
22.431972789, NA
22.559092970, DHA
22.692698412, GE
22.810816326, TRA
22.916303854, KI
23.013673469, TIN
23.162947845, NA
23.296734693, KI
23.367346938, TA
23.422448979, TA
23.469387755, KI
