0.069614512, GHI
0.326530612, DI
0.461224489, NA
0.581451247, GHI
0.685691609, TA
0.788843537, TA
0.894285714, GA
1.010861678, TAA
1.137732426, GE
1.265056689, TI
1.358299319, RA
1.462902494, KI
1.567437641, TA
1.683514739, TA
1.787959183, KA
1.938775510, TA
2.160204081, KI
2.391859410, TA
2.625555555, DHA
2.858140589, TRA
3.064988662, KA
3.319229024, DHIN
3.541541950, DHA
3.773718820, KAT
4.451179138, DHA
4.694580498, DHIN
4.922970521, DHA
5.155442176, KAT
5.675283446, DHE
5.921065759, RE
6.141972789, DHE
6.398095238, RE
6.605782312, KI
6.826235827, TA
7.047482993, TA
7.269183673, KA
7.502653061, TAA
7.744240362, GE
7.954195011, TI
8.182902494, RA
8.399319727, KI
8.629183673, TA
8.848412698, TA
9.074444444, KA
9.291791383, DHE
9.416145124, RE
9.511451247, DHE
9.613083900, RE
9.718798185, KAT
10.191904761, DHE
10.284897959, RE
10.380317460, DHE
10.481337868, RE
10.589750566, KI
10.668662131, TA
10.785736961, TA
10.878253968, KA
10.986077097, TAA
11.111927437, GE
11.215192743, TI
11.307732426, RA
11.400022675, KI
11.482267573, TA
11.586870748, TA
11.680634920, KA
11.787006802, TAA
12.016507936, GE
12.234920634, TI
12.457188208, TA
12.682925170, DHIN
12.899863945, TAA
13.131020408, KI
13.223219954, TA
13.326326530, TA
13.432063492, KA
13.549342403, TAA
13.677029478, GE
13.768956916, TI
13.881043083, TA
13.956349206, KI
14.019546485, DA
14.105714285, N
14.409478458, GHI
14.479591836, DI
14.534693877, NA
14.636734693, GHI
14.683673469, TA
14.743197278, TA
14.791836734, GA
14.852698412, TAA
14.920408163, GE
14.980136054, TI
15.032653061, RA
15.085714285, KI
15.144897959, TA
15.206122448, TA
15.253061224, KA
15.294058956, TA
15.429433106, KI
15.511315192, TA
15.612743764, DHA
15.719478458, TRA
15.827097505, KA
15.931587301, DHIN
16.048458049, DHA
16.150907029, KAT
16.491836734, DHA
16.613809523, DHIN
16.721496598, DHA
16.789251700, KAT
17.060045351, DHE
17.147800453, RE
17.263877551, DHE
17.358367346, RE
17.475442176, KI
17.577392290, TA
17.682131519, TA
17.775578231, KA
17.893560090, TAA
18.008480725, GE
18.125600907, TI
18.227188208, RA
18.332063492, KI
18.424943310, TA
18.527959183, TA
18.624852607, KA
18.756893424, DHE
18.820408163, RE
18.881632653, DHE
18.922448979, RE
18.958662131, KAT
19.171428571, DHE
19.242857142, RE
19.305850340, DHE
19.363696145, RE
19.423605442, KI
19.469614512, TA
19.528866213, TA
19.575374149, KA
19.644716553, TAA
19.725124716, GE
19.777551020, TI
19.824489795, RA
19.888435374, KI
19.935941043, TA
19.967551020, TA
20.027188208, KA
20.074716553, TAA
20.235963718, GE
20.295918367, TI
20.409637188, TA
20.506122448, DHIN
20.631541950, TAA
20.665306122, KI
20.691836734, TA
20.722448979, TA
20.757142857, KA
20.797959183, TAA
20.844897959, GE
20.881632653, TI
20.922448979, TA
20.956870748, KI
20.989795918, DA
21.097959183, N
